Date,Open,High,Low,Close,Adj Close,Volume
2018-01-03,546.460022,551.020020,546.099976,549.340027,549.340027,93687300
2018-01-04,551.369995,555.000000,550.909973,554.059998,554.059998,94628400
2018-01-05,554.590027,558.159973,554.169983,558.159973,558.159973,76775500
2018-01-08,559.820007,561.320007,559.530029,560.890015,560.890015,66889500
2018-01-09,562.239990,563.309998,561.239990,563.039978,563.039978,104849200
2018-01-10,562.169983,563.299988,559.159973,560.440002,560.440002,110080700
2018-01-11,561.330017,561.330017,557.830017,558.890015,558.890015,100225100
2018-01-12,559.989990,561.099976,557.929993,561.099976,561.099976,84925800
2018-01-15,561.500000,562.229980,559.859985,561.059998,561.059998,55010800
2018-01-16,561.700012,562.700012,560.260010,561.179993,561.179993,72831800
2018-01-17,561.719971,564.090027,561.330017,563.280029,563.280029,85777000
2018-01-18,565.880005,566.489990,564.150024,566.489990,566.489990,87099200
2018-01-19,565.669983,570.270020,565.539978,569.299988,569.299988,82275600
2018-01-22,569.080017,570.900024,568.859985,570.820007,570.820007,74479900
2018-01-23,572.750000,572.809998,569.260010,570.599976,570.599976,90079800
2018-01-24,570.039978,570.440002,566.039978,566.039978,566.039978,77752000
2018-01-25,564.799988,569.210022,563.349976,565.070007,565.070007,82339700
2018-01-26,565.000000,567.700012,564.400024,566.789978,566.789978,59366000
2018-01-29,567.580017,567.580017,565.080017,566.059998,566.059998,66977800
2018-01-30,563.229980,564.760010,559.880005,561.000000,561.000000,91545100
2018-01-31,560.429993,562.080017,559.150024,560.520020,560.520020,105548900
2018-02-01,563.020020,563.539978,555.840027,556.869995,556.869995,99998800
2018-02-02,555.700012,555.700012,549.950012,550.080017,550.080017,88861000
2018-02-05,544.070007,545.159973,540.770020,542.650024,542.650024,96139500
2018-02-06,523.190002,533.599976,522.200012,526.179993,526.179993,184754700
2018-02-07,533.729980,537.719971,529.520020,536.359985,536.359985,123695600
2018-02-08,532.940002,533.869995,524.210022,526.119995,526.119995,113282100
2018-02-09,522.969971,525.400024,515.960022,518.330017,518.330017,134030200
2018-02-12,524.299988,526.570007,521.609985,524.099976,524.099976,91581600
2018-02-13,524.780029,525.270020,520.570007,520.570007,520.570007,76844100
2018-02-14,523.979980,527.479980,518.049988,525.640015,525.640015,99078300
2018-02-15,528.059998,529.429993,525.580017,527.570007,527.570007,99601600
2018-02-16,530.719971,533.000000,529.960022,532.270020,532.270020,86716700
2018-02-19,533.789978,533.789978,527.849976,528.760010,528.760010,50483000
2018-02-20,528.679993,533.330017,528.020020,532.929993,532.929993,70868200
2018-02-21,531.460022,534.469971,529.539978,533.950012,533.950012,72675200
2018-02-22,530.109985,533.510010,528.369995,532.640015,532.640015,77882200
2018-02-23,533.679993,534.580017,531.229980,534.090027,534.090027,55857500
2018-02-26,536.880005,540.179993,536.640015,538.309998,538.309998,61694300
2018-02-27,540.359985,540.650024,536.570007,537.830017,537.830017,75948900
2018-02-28,535.690002,539.080017,535.239990,535.580017,535.580017,88015800
